Datum;Wochentag;Kapazitaet_Std;Gebucht_Std;Auslastung_Prozent;Anzahl_Buchungen;Details_JSON
2026-01-04;Sunday;37.5;37.5;100.0;26;"[{""start"": 9.0, ""end"": 11.0, ""duration"": 2.0}, {""start"": 11.0, ""end"": 13.0, ""duration"": 2.0}, {""start"": 13.0, ""end"": 14.5, ""duration"": 1.5}, {""start"": 14.5, ""end"": 16.0, ""duration"": 1.5}, {""start"": 16.0, ""end"": 18.0, ""duration"": 2.0}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 20.0, ""duration"": 1.0}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}, {""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 10.0, ""end"": 12.0, ""duration"": 2.0}, {""start"": 12.0, ""end"": 14.0, ""duration"": 2.0}, {""start"": 14.0, ""end"": 15.5, ""duration"": 1.5}, {""start"": 15.5, ""end"": 16.5, ""duration"": 1.0}, {""start"": 16.5, ""end"": 17.5, ""duration"": 1.0}, {""start"": 17.5, ""end"": 19.0, ""duration"": 1.5}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 22.0, ""duration"": 1.0}, {""start"": 9.0, ""end"": 10.5, ""duration"": 1.5}, {""start"": 10.5, ""end"": 12.5, ""duration"": 2.0}, {""start"": 12.5, ""end"": 15.0, ""duration"": 2.5}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.0, ""duration"": 1.0}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 22.0, ""duration"": 1.0}]"
2026-01-05;Monday;43.5;42.0;96.55;29;"[{""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 10.0, ""end"": 12.0, ""duration"": 2.0}, {""start"": 12.0, ""end"": 14.0, ""duration"": 2.0}, {""start"": 14.0, ""end"": 16.0, ""duration"": 2.0}, {""start"": 16.0, ""end"": 17.5, ""duration"": 1.5}, {""start"": 17.5, ""end"": 19.5, ""duration"": 2.0}, {""start"": 19.5, ""end"": 20.5, ""duration"": 1.0}, {""start"": 20.5, ""end"": 22.0, ""duration"": 1.5}, {""start"": 8.0, ""end"": 9.0, ""duration"": 1.0}, {""start"": 9.0, ""end"": 10.5, ""duration"": 1.5}, {""start"": 10.5, ""end"": 11.5, ""duration"": 1.0}, {""start"": 11.5, ""end"": 12.5, ""duration"": 1.0}, {""start"": 12.5, ""end"": 14.5, ""duration"": 2.0}, {""start"": 14.5, ""end"": 15.5, ""duration"": 1.0}, {""start"": 15.5, ""end"": 17.0, ""duration"": 1.5}, {""start"": 17.0, ""end"": 18.0, ""duration"": 1.0}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 20.0, ""duration"": 1.0}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}, {""start"": 8.0, ""end"": 9.0, ""duration"": 1.0}, {""start"": 9.0, ""end"": 11.0, ""duration"": 2.0}, {""start"": 11.0, ""end"": 12.5, ""duration"": 1.5}, {""start"": 12.5, ""end"": 14.5, ""duration"": 2.0}, {""start"": 14.5, ""end"": 15.5, ""duration"": 1.0}, {""start"": 15.5, ""end"": 16.5, ""duration"": 1.0}, {""start"": 16.5, ""end"": 18.0, ""duration"": 1.5}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 23.0, ""duration"": 2.0}]"
2026-01-06;Tuesday;43.5;29.0;66.67;22;"[{""start"": 8.5, ""end"": 10.5, ""duration"": 2.0}, {""start"": 14.5, ""end"": 15.5, ""duration"": 1.0}, {""start"": 16.5, ""end"": 18.5, ""duration"": 2.0}, {""start"": 18.5, ""end"": 19.5, ""duration"": 1.0}, {""start"": 19.5, ""end"": 21.0, ""duration"": 1.5}, {""start"": 21.0, ""end"": 23.0, ""duration"": 2.0}, {""start"": 9.0, ""end"": 10.5, ""duration"": 1.5}, {""start"": 10.5, ""end"": 11.5, ""duration"": 1.0}, {""start"": 11.5, ""end"": 12.5, ""duration"": 1.0}, {""start"": 15.5, ""end"": 17.0, ""duration"": 1.5}, {""start"": 17.0, ""end"": 18.5, ""duration"": 1.5}, {""start"": 18.5, ""end"": 19.5, ""duration"": 1.0}, {""start"": 19.5, ""end"": 21.0, ""duration"": 1.5}, {""start"": 21.0, ""end"": 22.0, ""duration"": 1.0}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}, {""start"": 13.0, ""end"": 14.5, ""duration"": 1.5}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.0, ""duration"": 1.0}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 20.0, ""duration"": 1.0}, {""start"": 20.0, ""end"": 21.0, ""duration"": 1.0}, {""start"": 21.0, ""end"": 23.0, ""duration"": 2.0}]"
2026-01-07;Wednesday;43.5;32.0;73.56;23;"[{""start"": 9.5, ""end"": 11.5, ""duration"": 2.0}, {""start"": 11.5, ""end"": 13.5, ""duration"": 2.0}, {""start"": 13.5, ""end"": 15.0, ""duration"": 1.5}, {""start"": 15.0, ""end"": 16.5, ""duration"": 1.5}, {""start"": 16.5, ""end"": 17.5, ""duration"": 1.0}, {""start"": 17.5, ""end"": 19.0, ""duration"": 1.5}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 22.0, ""duration"": 1.0}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}, {""start"": 11.0, ""end"": 13.0, ""duration"": 2.0}, {""start"": 14.5, ""end"": 15.5, ""duration"": 1.0}, {""start"": 16.5, ""end"": 17.5, ""duration"": 1.0}, {""start"": 17.5, ""end"": 19.0, ""duration"": 1.5}, {""start"": 19.0, ""end"": 20.0, ""duration"": 1.0}, {""start"": 21.0, ""end"": 22.0, ""duration"": 1.0}, {""start"": 8.5, ""end"": 10.0, ""duration"": 1.5}, {""start"": 10.0, ""end"": 11.5, ""duration"": 1.5}, {""start"": 11.5, ""end"": 12.5, ""duration"": 1.0}, {""start"": 14.0, ""end"": 15.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 17.5, ""duration"": 1.5}, {""start"": 17.5, ""end"": 19.0, ""duration"": 1.5}, {""start"": 19.0, ""end"": 20.0, ""duration"": 1.0}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}]"
2026-01-08;Thursday;43.5;33.5;77.01;24;"[{""start"": 8.5, ""end"": 10.0, ""duration"": 1.5}, {""start"": 10.0, ""end"": 11.5, ""duration"": 1.5}, {""start"": 13.5, ""end"": 15.0, ""duration"": 1.5}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.5, ""duration"": 1.5}, {""start"": 18.5, ""end"": 20.5, ""duration"": 2.0}, {""start"": 20.5, ""end"": 22.0, ""duration"": 1.5}, {""start"": 9.5, ""end"": 10.5, ""duration"": 1.0}, {""start"": 13.0, ""end"": 14.0, ""duration"": 1.0}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 18.0, ""duration"": 2.0}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 22.0, ""duration"": 1.0}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}, {""start"": 9.0, ""end"": 10.5, ""duration"": 1.5}, {""start"": 10.5, ""end"": 12.5, ""duration"": 2.0}, {""start"": 14.5, ""end"": 15.5, ""duration"": 1.0}, {""start"": 15.5, ""end"": 17.0, ""duration"": 1.5}, {""start"": 17.0, ""end"": 18.5, ""duration"": 1.5}, {""start"": 18.5, ""end"": 20.0, ""duration"": 1.5}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}]"
2026-01-09;Friday;43.5;31.0;71.26;20;"[{""start"": 9.5, ""end"": 10.5, ""duration"": 1.0}, {""start"": 15.5, ""end"": 17.0, ""duration"": 1.5}, {""start"": 17.0, ""end"": 18.0, ""duration"": 1.0}, {""start"": 18.0, ""end"": 20.0, ""duration"": 2.0}, {""start"": 20.0, ""end"": 23.0, ""duration"": 3.0}, {""start"": 10.0, ""end"": 11.5, ""duration"": 1.5}, {""start"": 14.5, ""end"": 15.5, ""duration"": 1.0}, {""start"": 15.5, ""end"": 16.5, ""duration"": 1.0}, {""start"": 16.5, ""end"": 17.5, ""duration"": 1.0}, {""start"": 17.5, ""end"": 18.5, ""duration"": 1.0}, {""start"": 18.5, ""end"": 20.0, ""duration"": 1.5}, {""start"": 20.0, ""end"": 23.0, ""duration"": 3.0}, {""start"": 8.0, ""end"": 9.5, ""duration"": 1.5}, {""start"": 10.5, ""end"": 12.0, ""duration"": 1.5}, {""start"": 13.5, ""end"": 14.5, ""duration"": 1.0}, {""start"": 14.5, ""end"": 15.5, ""duration"": 1.0}, {""start"": 15.5, ""end"": 17.0, ""duration"": 1.5}, {""start"": 17.0, ""end"": 18.0, ""duration"": 1.0}, {""start"": 18.0, ""end"": 20.0, ""duration"": 2.0}, {""start"": 20.0, ""end"": 23.0, ""duration"": 3.0}]"
2026-01-10;Saturday;37.5;37.5;100.0;26;"[{""start"": 10.0, ""end"": 11.0, ""duration"": 1.0}, {""start"": 11.0, ""end"": 12.0, ""duration"": 1.0}, {""start"": 12.0, ""end"": 13.0, ""duration"": 1.0}, {""start"": 13.0, ""end"": 14.0, ""duration"": 1.0}, {""start"": 14.0, ""end"": 16.0, ""duration"": 2.0}, {""start"": 16.0, ""end"": 18.0, ""duration"": 2.0}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 20.0, ""duration"": 1.0}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}, {""start"": 9.0, ""end"": 11.0, ""duration"": 2.0}, {""start"": 11.0, ""end"": 12.0, ""duration"": 1.0}, {""start"": 12.0, ""end"": 14.0, ""duration"": 2.0}, {""start"": 14.0, ""end"": 15.0, ""duration"": 1.0}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.5, ""duration"": 1.5}, {""start"": 18.5, ""end"": 20.5, ""duration"": 2.0}, {""start"": 20.5, ""end"": 22.0, ""duration"": 1.5}, {""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 10.0, ""end"": 11.5, ""duration"": 1.5}, {""start"": 11.5, ""end"": 13.5, ""duration"": 2.0}, {""start"": 13.5, ""end"": 15.0, ""duration"": 1.5}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 18.0, ""duration"": 2.0}, {""start"": 18.0, ""end"": 20.0, ""duration"": 2.0}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}]"
2026-01-11;Sunday;37.5;37.5;100.0;29;"[{""start"": 9.0, ""end"": 11.0, ""duration"": 2.0}, {""start"": 11.0, ""end"": 12.5, ""duration"": 1.5}, {""start"": 12.5, ""end"": 14.0, ""duration"": 1.5}, {""start"": 14.0, ""end"": 15.0, ""duration"": 1.0}, {""start"": 15.0, ""end"": 16.5, ""duration"": 1.5}, {""start"": 16.5, ""end"": 17.5, ""duration"": 1.0}, {""start"": 17.5, ""end"": 19.0, ""duration"": 1.5}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 22.0, ""duration"": 1.0}, {""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 10.0, ""end"": 12.0, ""duration"": 2.0}, {""start"": 12.0, ""end"": 13.0, ""duration"": 1.0}, {""start"": 13.0, ""end"": 14.0, ""duration"": 1.0}, {""start"": 14.0, ""end"": 15.0, ""duration"": 1.0}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 18.0, ""duration"": 2.0}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 22.0, ""duration"": 1.0}, {""start"": 9.0, ""end"": 10.5, ""duration"": 1.5}, {""start"": 10.5, ""end"": 12.5, ""duration"": 2.0}, {""start"": 12.5, ""end"": 13.5, ""duration"": 1.0}, {""start"": 13.5, ""end"": 14.5, ""duration"": 1.0}, {""start"": 14.5, ""end"": 15.5, ""duration"": 1.0}, {""start"": 15.5, ""end"": 16.5, ""duration"": 1.0}, {""start"": 16.5, ""end"": 18.0, ""duration"": 1.5}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 20.5, ""duration"": 1.5}, {""start"": 20.5, ""end"": 22.0, ""duration"": 1.5}]"
2026-01-12;Monday;43.5;30.5;70.11;23;"[{""start"": 8.0, ""end"": 10.0, ""duration"": 2.0}, {""start"": 11.0, ""end"": 12.0, ""duration"": 1.0}, {""start"": 13.5, ""end"": 14.5, ""duration"": 1.0}, {""start"": 14.5, ""end"": 15.5, ""duration"": 1.0}, {""start"": 16.5, ""end"": 17.5, ""duration"": 1.0}, {""start"": 17.5, ""end"": 19.0, ""duration"": 1.5}, {""start"": 19.0, ""end"": 20.5, ""duration"": 1.5}, {""start"": 21.0, ""end"": 22.0, ""duration"": 1.0}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}, {""start"": 9.5, ""end"": 10.5, ""duration"": 1.0}, {""start"": 14.5, ""end"": 16.0, ""duration"": 1.5}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.0, ""duration"": 1.0}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 23.0, ""duration"": 2.0}, {""start"": 10.5, ""end"": 11.5, ""duration"": 1.0}, {""start"": 14.0, ""end"": 15.0, ""duration"": 1.0}, {""start"": 15.0, ""end"": 16.5, ""duration"": 1.5}, {""start"": 16.5, ""end"": 17.5, ""duration"": 1.0}, {""start"": 17.5, ""end"": 19.0, ""duration"": 1.5}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 23.0, ""duration"": 2.0}]"
2026-01-13;Tuesday;43.5;32.0;73.56;25;"[{""start"": 10.0, ""end"": 11.0, ""duration"": 1.0}, {""start"": 11.0, ""end"": 12.0, ""duration"": 1.0}, {""start"": 13.5, ""end"": 14.5, ""duration"": 1.0}, {""start"": 14.5, ""end"": 15.5, ""duration"": 1.0}, {""start"": 15.5, ""end"": 17.0, ""duration"": 1.5}, {""start"": 17.0, ""end"": 18.5, ""duration"": 1.5}, {""start"": 18.5, ""end"": 19.5, ""duration"": 1.0}, {""start"": 19.5, ""end"": 21.0, ""duration"": 1.5}, {""start"": 21.0, ""end"": 23.0, ""duration"": 2.0}, {""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 13.5, ""end"": 14.5, ""duration"": 1.0}, {""start"": 16.5, ""end"": 18.0, ""duration"": 1.5}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 20.0, ""duration"": 1.0}, {""start"": 20.0, ""end"": 21.5, ""duration"": 1.5}, {""start"": 21.5, ""end"": 23.0, ""duration"": 1.5}, {""start"": 8.5, ""end"": 10.0, ""duration"": 1.5}, {""start"": 10.0, ""end"": 11.5, ""duration"": 1.5}, {""start"": 14.0, ""end"": 16.0, ""duration"": 2.0}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.0, ""duration"": 1.0}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 20.0, ""duration"": 1.0}, {""start"": 20.0, ""end"": 21.0, ""duration"": 1.0}, {""start"": 21.0, ""end"": 23.0, ""duration"": 2.0}]"
2026-01-14;Wednesday;43.5;23.5;54.02;13;"[{""start"": 14.5, ""end"": 16.0, ""duration"": 1.5}, {""start"": 16.0, ""end"": 18.0, ""duration"": 2.0}, {""start"": 18.0, ""end"": 20.0, ""duration"": 2.0}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}, {""start"": 11.5, ""end"": 13.5, ""duration"": 2.0}, {""start"": 16.5, ""end"": 18.0, ""duration"": 1.5}, {""start"": 18.0, ""end"": 20.0, ""duration"": 2.0}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}, {""start"": 9.0, ""end"": 10.5, ""duration"": 1.5}, {""start"": 16.0, ""end"": 18.0, ""duration"": 2.0}, {""start"": 18.0, ""end"": 20.0, ""duration"": 2.0}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}]"
2026-01-15;Thursday;43.5;29.0;66.67;20;"[{""start"": 8.0, ""end"": 9.5, ""duration"": 1.5}, {""start"": 9.5, ""end"": 11.0, ""duration"": 1.5}, {""start"": 12.0, ""end"": 13.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.5, ""duration"": 1.5}, {""start"": 18.5, ""end"": 20.5, ""duration"": 2.0}, {""start"": 20.5, ""end"": 22.0, ""duration"": 1.5}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}, {""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 11.0, ""end"": 12.0, ""duration"": 1.0}, {""start"": 14.5, ""end"": 15.5, ""duration"": 1.0}, {""start"": 16.5, ""end"": 18.0, ""duration"": 1.5}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 23.0, ""duration"": 2.0}, {""start"": 9.0, ""end"": 11.0, ""duration"": 2.0}, {""start"": 15.5, ""end"": 17.0, ""duration"": 1.5}, {""start"": 17.0, ""end"": 18.5, ""duration"": 1.5}, {""start"": 18.5, ""end"": 20.0, ""duration"": 1.5}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}]"
